method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
baseline,,,gb,gb,0.8658698539176627,0.1642633262544764,0.0570102207693024,0.6764529105130571,0.0568625779002621,0.0216695545387255,0.0947037793177162
threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.848472775564409,0.1138048621354025,0.018239500620055,0.4886914668167287,0.0143958250074718,0.2413960234527309,0.1384609423788295
expgrad_dp,demographic_parity,0.01,gb,gb_dp_eps0.01,0.8427622841965472,0.0163637275787025,0.257608169760849,0.09871744574381403,0.1515486637357971,0.3235508525921198,0.1511632852003568
expgrad_dp,demographic_parity,0.05,gb,gb_dp_eps0.05,0.8409694555112882,0.0156352343128773,0.2580400091166085,0.09404310763056678,0.151711419512582,0.3226253224178536,0.1517062675061781
threshold_optimizer,demographic_parity,,gb,gb_thresh_demographic_parity,0.8378486055776893,0.0056109045995973,0.3222624040999605,0.030561390574082026,0.193338627532677,0.3482834994462901,0.1598078362928955
threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.8314741035856573,0.1026789363464742,0.0032850636706002,0.45103167407258593,0.0071941935120331,0.2535767164431659,0.15484607698952
expgrad_dp,demographic_parity,0.02,logreg,logreg_dp_eps0.02,0.8293492695883135,0.013738969370887,0.2648808928792774,0.08166919871493339,0.1523338406905429,0.2995848297292478,0.1660353934353599
expgrad_dp,demographic_parity,0.05,logreg,logreg_dp_eps0.05,0.8288180610889774,0.0145273797384834,0.2627673933868029,0.08595295755474719,0.1508921607011126,0.297654194371142,0.1661309396414511
expgrad_dp,demographic_parity,0.005,logreg,logreg_dp_eps0.005,0.8282868525896414,0.0126355880183528,0.2698578985760155,0.07533097040083825,0.1546949730582369,0.296863964272386,0.1658762245932483
expgrad_dp,demographic_parity,0.01,logreg,logreg_dp_eps0.01,0.8268924302788845,0.0142703600448132,0.2622675793176367,0.08517726080865895,0.1499843585846689,0.2936848683696587,0.1661091856767174
threshold_optimizer,demographic_parity,,logreg,logreg_thresh_demographic_parity,0.8238379814077025,0.0051270945635691,0.314081447415847,0.02696939570751078,0.1862318352805313,0.3237985121366616,0.1736496948370328
expgrad_dp,demographic_parity,0.05,rf,rf_dp_eps0.05,0.7873173970783532,0.0674470586670669,0.0072184575909189,0.2249047993081591,0.0196045487988787,0.3490129509718552,0.1557031982359439
expgrad_dp,demographic_parity,0.01,rf,rf_dp_eps0.01,0.7853917662682602,0.0544139556819255,0.024779353509066,0.18132624246453144,0.0337084666471248,0.3504559473133596,0.1561223032902683
expgrad_dp,demographic_parity,0.02,tree,tree_dp_eps0.02,0.750132802124834,0.0899265831960793,0.0026675790891501,0.266341225829135,0.0071534339927954,0.2831198994973428,0.1795481424851851
threshold_optimizer,demographic_parity,,tree,tree_thresh_demographic_parity,0.7389110225763612,0.0086018652211835,0.0278473550696284,0.025737493198340178,0.0662838269758524,0.3778806481200213,0.2066147046561682
