dataset,model,accuracy,precision,recall,f1,statistical_parity_diff,disparate_impact_ratio,equal_opportunity_diff,false_positive_rate_diff,average_odds_diff,predictive_parity_diff,experiment,base_model,eps,constraint,method,brier_overall,brier_min_group,brier_max_group,brier_diff,brier_n_mc,di_gap,abs_statistical_parity_diff,abs_equal_opportunity_diff,abs_average_odds_diff,abs_predictive_parity_diff
german_credit,dummy,0.7,0.7,1.0,0.8235294117647058,0.0,1.0,0.0,0.0,0.0,0.0476190476190476,baseline,dummy,,,baseline,0.3,0.2857142857142857,0.3333333333333333,0.0476190476190476,0,0.0,0.0,0.0,0.0,0.0476190476190476
german_credit,logreg,0.705,0.7872340425531915,0.7928571428571428,0.7900355871886121,0.0071428571428572,0.9898989898989898,0.025,0.075,0.05,0.0699855699855699,baseline,logreg,,,baseline,0.1881402978326704,0.1736110742928425,0.222041819425602,0.0484307451327595,0,0.010101010101010166,0.0071428571428572,0.025,0.05,0.0699855699855699
german_credit,tree,0.675,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.1309523809523809,0.8286604361370716,0.1549999999999999,0.0499999999999999,0.1024999999999999,0.0651746187899655,baseline,tree,,,baseline,0.325,0.2928571428571428,0.4,0.1071428571428571,0,0.17133956386292837,0.1309523809523809,0.1549999999999999,0.1024999999999999,0.0651746187899655
german_credit,rf,0.725,0.7639751552795031,0.8785714285714286,0.8172757475083057,0.0071428571428571,0.991150442477876,0.005,0.025,0.015,0.049594395280236,baseline,rf,,,baseline,0.1661419999999999,0.1515344642857143,0.20022625,0.0486917857142857,0,0.008849557522124019,0.0071428571428571,0.005,0.015,0.049594395280236
german_credit,gb,0.75,0.7960526315789473,0.8642857142857143,0.8287671232876712,0.0619047619047619,0.9204892966360856,0.0899999999999999,0.05,0.07,0.072327714956262,baseline,gb,,,baseline,0.1751147924603719,0.1541832350210802,0.2239550931520524,0.0697718581309721,0,0.07951070336391441,0.0619047619047619,0.0899999999999999,0.07,0.072327714956262
german_credit,logreg_dp_eps0.005,0.71,0.7887323943661971,0.8,0.7943262411347518,0.0095238095238094,0.9867109634551496,0.0,0.075,0.0375,0.0638947615691801,mitigation_dp,logreg,0.005,demographic_parity,expgrad_dp,0.2847222222222222,0.2744047619047619,0.3087962962962963,0.0343915343915343,50,0.013289036544850363,0.0095238095238094,0.0,0.0375,0.0638947615691801
german_credit,logreg_dp_eps0.01,0.7,0.7816901408450704,0.7928571428571428,0.7872340425531915,0.0095238095238094,0.9867109634551496,0.025,0.125,0.075,0.0871505755226685,mitigation_dp,logreg,0.01,demographic_parity,expgrad_dp,0.2848611111111111,0.2746031746031745,0.3087962962962963,0.0341931216931217,50,0.013289036544850363,0.0095238095238094,0.025,0.075,0.0871505755226685
german_credit,logreg_dp_eps0.02,0.705,0.7872340425531915,0.7928571428571428,0.7900355871886121,0.0404761904761904,0.9448051948051948,0.01,0.1499999999999999,0.0799999999999999,0.0871602624179943,mitigation_dp,logreg,0.02,demographic_parity,expgrad_dp,0.2848611111111111,0.2746031746031745,0.3087962962962963,0.0341931216931217,50,0.05519480519480524,0.0404761904761904,0.01,0.0799999999999999,0.0871602624179943
german_credit,logreg_dp_eps0.05,0.705,0.7832167832167832,0.8,0.7915194346289752,0.026190476190476,0.9642857142857144,0.0,0.125,0.0625,0.0808080808080807,mitigation_dp,logreg,0.05,demographic_parity,expgrad_dp,0.2879638866601583,0.274208455599829,0.3200598924675933,0.0458514368677643,50,0.03571428571428559,0.026190476190476,0.0,0.0625,0.0808080808080807
german_credit,tree_dp_eps0.005,0.68,0.75,0.8142857142857143,0.7808219178082192,0.1095238095238094,0.861861861861862,0.16,0.025,0.0925,0.091847945506482,mitigation_dp,tree,0.005,demographic_parity,expgrad_dp,0.2763322782174094,0.251090973998929,0.335228654727197,0.084137680728268,50,0.13813813813813802,0.1095238095238094,0.16,0.0925,0.091847945506482
german_credit,tree_dp_eps0.01,0.685,0.7655172413793103,0.7928571428571428,0.7789473684210526,0.0833333333333333,0.8888888888888888,0.13,0.0499999999999999,0.0899999999999999,0.0904761904761904,mitigation_dp,tree,0.01,demographic_parity,expgrad_dp,0.2603339441899208,0.2329456773963229,0.3242399000416493,0.0912942226453263,50,0.11111111111111116,0.0833333333333333,0.13,0.0899999999999999,0.0904761904761904
german_credit,tree_dp_eps0.02,0.635,0.7310344827586207,0.7571428571428571,0.743859649122807,0.1071428571428571,0.8584905660377359,0.1149999999999999,0.075,0.095,0.0529753265602321,mitigation_dp,tree,0.02,demographic_parity,expgrad_dp,0.3238424822990421,0.2986935205569108,0.3825233930306816,0.0838298724737708,50,0.14150943396226412,0.1071428571428571,0.1149999999999999,0.095,0.0529753265602321
german_credit,tree_dp_eps0.05,0.685,0.7583892617449665,0.8071428571428572,0.7820069204152249,0.0880952380952381,0.8858024691358024,0.1149999999999999,0.0,0.0574999999999999,0.0704607046070461,mitigation_dp,tree,0.05,demographic_parity,expgrad_dp,0.2713873386089129,0.2487362408520259,0.3242399000416493,0.0755036591896234,50,0.1141975308641976,0.0880952380952381,0.1149999999999999,0.0574999999999999,0.0704607046070461
german_credit,rf_dp_eps0.01,0.74,0.7528735632183908,0.9357142857142856,0.8343949044585988,0.0428571428571429,0.9523809523809524,0.0549999999999999,0.05,0.0524999999999999,0.0444444444444445,mitigation_dp,rf,0.01,demographic_parity,expgrad_dp,0.2361419408579758,0.2175741060272505,0.2794668887963348,0.0618927827690842,50,0.04761904761904756,0.0428571428571429,0.0549999999999999,0.0524999999999999,0.0444444444444445
german_credit,rf_dp_eps0.05,0.72,0.7470588235294118,0.9071428571428573,0.8193548387096774,0.0476190476190476,0.9449035812672176,0.045,0.025,0.035,0.0460448642266824,mitigation_dp,rf,0.05,demographic_parity,expgrad_dp,0.2471953352769679,0.2357194026298565,0.273972511453561,0.0382531088237044,50,0.05509641873278237,0.0476190476190476,0.045,0.035,0.0460448642266824
german_credit,gb_dp_eps0.01,0.745,0.7947019867549668,0.8571428571428571,0.8247422680412371,0.0547619047619047,0.9290123456790124,0.0799999999999999,0.05,0.065,0.0706287683031868,mitigation_dp,gb,0.01,demographic_parity,expgrad_dp,0.2236723822147322,0.1975979521205886,0.2845127191010671,0.0869147669804784,50,0.07098765432098764,0.0547619047619047,0.0799999999999999,0.065,0.0706287683031868
german_credit,gb_dp_eps0.05,0.77,0.8012820512820513,0.8928571428571429,0.8445945945945946,0.0047619047619047,0.993920972644377,0.025,0.125,0.075,0.0810072223306657,mitigation_dp,gb,0.05,demographic_parity,expgrad_dp,0.2266893257818992,0.2018804101782354,0.2845767955237813,0.0826963853455458,50,0.006079027355623046,0.0047619047619047,0.025,0.075,0.0810072223306657
german_credit,logreg_thresh_equalized_odds,0.745,0.8111888111888111,0.8285714285714286,0.8197879858657244,0.026190476190476,0.9642857142857144,0.0749999999999999,0.3,0.1875,0.1540404040404039,mitigation_threshold,logreg,,equalized_odds,threshold_optimizer,0.2262193074151361,0.2070575928571428,0.2709299747171206,0.0638723818599777,50,0.03571428571428559,0.026190476190476,0.0749999999999999,0.1875,0.1540404040404039
german_credit,tree_thresh_equalized_odds,0.675,0.7777777777777778,0.75,0.7636363636363637,0.0357142857142857,0.9479166666666669,0.07,0.075,0.0725,0.0841346153846154,mitigation_threshold,tree,,equalized_odds,threshold_optimizer,0.325,0.3,0.3833333333333333,0.0833333333333333,50,0.05208333333333315,0.0357142857142857,0.07,0.0725,0.0841346153846154
