dataset,method,constraint,eps,base_model,model,accuracy,base_accuracy,delta_accuracy,abs_statistical_parity_diff,base_abs_spd,delta_abs_spd,abs_equal_opportunity_diff,base_abs_eod,delta_abs_eod,abs_average_odds_diff,base_abs_aod,delta_abs_aod,di_gap,base_di_gap,delta_di_gap,abs_predictive_parity_diff,base_abs_ppd,delta_abs_ppd
german_credit,expgrad_dp,demographic_parity,0.01,gb,gb_dp_eps0.01,0.75,0.75,0.0,0.1,0.0619047619047619,0.038095238095238106,0.135,0.0899999999999999,0.04500000000000011,0.08,0.07,0.009999999999999995,0.1250000000000001,0.07951070336391441,0.045489296636085697,0.0744047619047618,0.072327714956262,0.0020770469484997917
german_credit,expgrad_dp,demographic_parity,0.05,gb,gb_dp_eps0.05,0.74,0.75,-0.010000000000000009,0.0523809523809524,0.0619047619047619,-0.009523809523809497,0.0899999999999999,0.0899999999999999,0.0,0.0824999999999999,0.07,0.0124999999999999,0.06666666666666676,0.07951070336391441,-0.012844036697247652,0.0818181818181817,0.072327714956262,0.009490466861919705
german_credit,threshold_optimizer,demographic_parity,,gb,gb_thresh_demographic_parity,0.695,0.75,-0.05500000000000005,0.1214285714285714,0.0619047619047619,0.0595238095238095,0.025,0.0899999999999999,-0.06499999999999989,0.1999999999999999,0.07,0.1299999999999999,0.16190476190476188,0.07951070336391441,0.08239405854084747,0.1633838383838384,0.072327714956262,0.09105612342757641
german_credit,threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.71,0.75,-0.040000000000000036,0.0238095238095238,0.0619047619047619,-0.0380952380952381,0.13,0.0899999999999999,0.040000000000000105,0.19,0.07,0.12,0.03367003367003363,0.07951070336391441,-0.04584066969388079,0.1554570091155456,0.072327714956262,0.0831292941592836
german_credit,expgrad_dp,demographic_parity,0.005,logreg,logreg_dp_eps0.005,0.705,0.705,0.0,0.0071428571428572,0.0071428571428572,0.0,0.025,0.025,0.0,0.05,0.05,0.0,0.010101010101010166,0.010101010101010166,0.0,0.0699855699855699,0.0699855699855699,0.0
german_credit,expgrad_dp,demographic_parity,0.01,logreg,logreg_dp_eps0.01,0.7,0.705,-0.0050000000000000044,0.0142857142857143,0.0071428571428572,0.007142857142857099,0.025,0.025,0.0,0.0375,0.05,-0.012500000000000004,0.020000000000000018,0.010101010101010166,0.009898989898989852,0.0619047619047619,0.0699855699855699,-0.008080808080808001
german_credit,expgrad_dp,demographic_parity,0.02,logreg,logreg_dp_eps0.02,0.71,0.705,0.0050000000000000044,0.0333333333333333,0.0071428571428572,0.026190476190476097,0.0,0.025,-0.025,0.0749999999999999,0.05,0.024999999999999897,0.045454545454545414,0.010101010101010166,0.03535353535353525,0.0890538033395176,0.0699855699855699,0.019068233353947694
german_credit,expgrad_dp,demographic_parity,0.05,logreg,logreg_dp_eps0.05,0.71,0.705,0.0050000000000000044,0.0142857142857143,0.0071428571428572,0.007142857142857099,0.035,0.025,0.010000000000000002,0.055,0.05,0.0049999999999999975,0.020000000000000018,0.010101010101010166,0.009898989898989852,0.0719047619047619,0.0699855699855699,0.001919191919192001
german_credit,threshold_optimizer,demographic_parity,,logreg,logreg_thresh_demographic_parity,0.73,0.705,0.025000000000000022,0.0095238095238094,0.0071428571428572,0.0023809523809522,0.075,0.025,0.049999999999999996,0.1625,0.05,0.1125,0.014285714285714235,0.010101010101010166,0.004184704184704069,0.1445652173913043,0.0699855699855699,0.07457964740573439
german_credit,threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.75,0.705,0.04500000000000004,0.0428571428571428,0.0071428571428572,0.0357142857142856,0.0499999999999999,0.025,0.024999999999999897,0.175,0.05,0.12499999999999999,0.05714285714285705,0.010101010101010166,0.047041847041846885,0.1474747474747474,0.0699855699855699,0.0774891774891775
german_credit,expgrad_dp,demographic_parity,0.01,rf,rf_dp_eps0.01,0.74,0.725,0.015000000000000013,0.0142857142857142,0.0071428571428571,0.0071428571428571,0.02,0.005,0.015,0.0725,0.015,0.057499999999999996,0.01680672268907557,0.008849557522124019,0.007957165166951552,0.0804424333836097,0.049594395280236,0.030848038103373693
german_credit,expgrad_dp,demographic_parity,0.05,rf,rf_dp_eps0.05,0.715,0.725,-0.010000000000000009,0.0119047619047619,0.0071428571428571,0.0047619047619048005,0.02,0.005,0.015,0.0349999999999999,0.015,0.0199999999999999,0.014367816091954033,0.008849557522124019,0.005518258569830015,0.0239268121041519,0.049594395280236,-0.0256675831760841
german_credit,threshold_optimizer,demographic_parity,,rf,rf_thresh_demographic_parity,0.715,0.725,-0.010000000000000009,0.1071428571428572,0.0071428571428571,0.1000000000000001,0.0499999999999999,0.005,0.0449999999999999,0.1624999999999999,0.015,0.1474999999999999,0.1339285714285715,0.008849557522124019,0.1250790139064475,0.1164089347079037,0.049594395280236,0.0668145394276677
german_credit,threshold_optimizer,equalized_odds,,rf,rf_thresh_equalized_odds,0.715,0.725,-0.010000000000000009,0.0499999999999999,0.0071428571428571,0.0428571428571428,0.085,0.005,0.08,0.08,0.015,0.065,0.07142857142857117,0.008849557522124019,0.06257901390644716,0.0829408686551543,0.049594395280236,0.033346473374918306
german_credit,expgrad_dp,demographic_parity,0.005,tree,tree_dp_eps0.005,0.705,0.675,0.029999999999999916,0.0785714285714285,0.1309523809523809,-0.0523809523809524,0.0949999999999999,0.1549999999999999,-0.059999999999999984,0.0474999999999999,0.1024999999999999,-0.05499999999999999,0.10784313725490191,0.17133956386292837,-0.06349642660802646,0.0603318250377074,0.0651746187899655,-0.004842793752258101
german_credit,expgrad_dp,demographic_parity,0.01,tree,tree_dp_eps0.01,0.72,0.675,0.04499999999999993,0.1047619047619048,0.1309523809523809,-0.026190476190476097,0.0749999999999999,0.1549999999999999,-0.07999999999999999,0.0999999999999999,0.1024999999999999,-0.0025000000000000022,0.13580246913580252,0.17133956386292837,-0.03553709472712585,0.012037037037037,0.0651746187899655,-0.0531375817529285
german_credit,expgrad_dp,demographic_parity,0.02,tree,tree_dp_eps0.02,0.615,0.675,-0.06000000000000005,0.0690476190476191,0.1309523809523809,-0.06190476190476181,0.0849999999999999,0.1549999999999999,-0.06999999999999999,0.0549999999999999,0.1024999999999999,-0.047499999999999994,0.09385113268608425,0.17133956386292837,-0.07748843117684412,0.0628640776699028,0.0651746187899655,-0.002310541120062695
german_credit,expgrad_dp,demographic_parity,0.05,tree,tree_dp_eps0.05,0.65,0.675,-0.025000000000000022,0.1380952380952381,0.1309523809523809,0.007142857142857201,0.1699999999999999,0.1549999999999999,0.015000000000000013,0.1099999999999999,0.1024999999999999,0.007500000000000007,0.17901234567901247,0.17133956386292837,0.007672781816084107,0.0750487329434698,0.0651746187899655,0.009874114153504296
german_credit,threshold_optimizer,demographic_parity,,tree,tree_thresh_demographic_parity,0.665,0.675,-0.010000000000000009,0.0023809523809523,0.1309523809523809,-0.12857142857142861,0.07,0.1549999999999999,-0.08499999999999988,0.1225,0.1024999999999999,0.0200000000000001,0.00347222222222221,0.17133956386292837,-0.16786734164070616,0.1191565040650406,0.0651746187899655,0.053981885275075095
german_credit,threshold_optimizer,equalized_odds,,tree,tree_thresh_equalized_odds,0.675,0.675,0.0,0.0357142857142857,0.1309523809523809,-0.0952380952380952,0.07,0.1549999999999999,-0.08499999999999988,0.0725,0.1024999999999999,-0.029999999999999902,0.05208333333333315,0.17133956386292837,-0.11925623052959522,0.0841346153846154,0.0651746187899655,0.018959996594649905
